Specimen ID	Nominal Species ID
OG694	Plectropomus leopardus
OG695	Tylosurus crocodilus
OG696	Scarus tricolor
OG697	Lethrinus erythropterus
OG698	Epinephelus polyphekadion
OG699	Monotaxis grandoculis
OG700	Cheilinus undulatus
OG701	Lutjanus fulvus
OG702	Lutjanus bohar
OG703	Istiophorus platypterus
OG704	Caranx sexfasciatus
OG705	Galeorhinus galeus
OG706	Galeorhinus galeus
OG707	Taenioides sp. Purple
OG708	Taenioides sp. Silver
OG709	Ambassis vachellii
OG710	Ophiocara porocephala
OG711	Amniataba caudavittata
OG712	Chelonodon patoca
OG713	Prionobutis microps
OG714	Apocryptodon madurensis
OG715	Pseudogobius aquilonius
OG716	Acentrogobius viridipunctatus
OG717	Periophthalmus darwiniensis
OG718	Periophthalmus argenteus
OG719	Periophthalmus takita
OG720	Mugilogobius rivulus
OG721	Pseudomugil cyanodorsalis
OG722	Toxotes chatareus
OG723	Gobiodon histrio
OG724	Centroberyx australis
OG725	Aspidontus taeniatus
OG726	Choerodon vitta
OG727	Oxycheilinus unifasciatus
OG728	Pseudocoris yamashiroi
OG729	Pomacentrus coelestis
OG730	Halichoeres brownfieldi
OG731	Eviota_sp
OG732	Chaetodon melannotus
OG733	Acanthurus nigrofuscus
OG734	Scarus longipinnis
OG735	Bodianus leucosticticus
OG736	Bodianus bimaculatus
OG737	Centropyge vrolikii
OG738	Gymnothorax undulatus
OG739	Rabaulichthys altipinnis
OG740	Plagiotremus tapeinosoma
OG741	Cephalopholis microprion
OG742	Batrachomoeus trispinosus
OG743	Dinolestes lewini
OG744	Parapercis australis
OG745	Notorynchus cepedianus
OG746	Cyttus australis
OG747	Sphyraena barracuda
OG748	Plectranthias bennetti
OG749	Chromis circumaurea
OG750	Azurina brevirostris
OG751	Pseudanthias pleurotaenia
OG752	Pseudanthias pleurotaenia
OG753	Chromis xanthura
OG754	Nemateleotris magnifica
OG755	Centropyge colini
OG756	Pseudocheilinus evanidus
OG757	Centropyge abei
OG758	Oxycirrhites typus
OG759	Pristigenys meyeri
OG760	Aprion virescens
OG761	Caranx melampygus
OG762	Chaetodon guentheri
OG763	Synodus variegatus
OG764	
OG765	Atherinomorus sp.
OG766	Genicanthus bellus
OG767	Cirrhilabrus roseafascia
OG768	Bodianus bimaculatus
OG769	Pycnochromis amboinensis
OG770	Nemateleotris decora
OG771	Plectranthias bennetti
OG772	Plectranthias bennetti
OG773	Centropyge abei
OG774	
OG775	Sufflamen fraenatum
OG776	
OG777	Melichthys vidua
OG778	Malacanthus latovittatus
OG779	Gymnocranius euanus
OG780	Oxycheilinus digramma
OG781	Parupeneus multifasciatus
OG782	Thalassoma jansenii
OG783	Thalassoma lutescens
OG784	Prognathodes geminus
OG785	Odontanthias borbonius
OG786	Odontanthias borbonius
OG787	Centropyge heraldi
OG788	Centropyge bispinosa
OG789	Centropyge bispinosa
OG790	Chaetodon kleinii
OG791	Macropharyngodon meleagris
OG792	Thalassoma quinquevittatum
OG793	Stethojulis bandanensis
OG794	Ctenochaetus striatus
OG795	Halichoeres hortulanus
OG796	Labroides bicolor
OG797	Labroides dimidiatus
OG798	Thalassoma lunare
OG799	Tosanoides bennetti
OG800	Terelabrus rubrovittatus
OG801	Serranocirrhitus latus
OG802	Serranocirrhitus latus
OG803	Bodianus paraleucosticticus
OG804	Oxycheilinus nigromarginatus
OG805	Centropyge colini
OG806	Serranocirrhitus latus
OG807	Monotaxis grandoculis
OG808	Macolor macularis
OG809	Nemateleotris magnifica
OG810	Cypho purpurascens
OG811	Ecsenius tigris
OG812	Chromis sp.  (gold silver)
OG813	Pomacentrus vaiuli
OG814	Chromis sp.  (gold silver)
OG815	Azurina brevirostris
OG816	Chromis sp. (gray)
OG817	Chromis sp. (gray)
OG818	Ostracion solorense
OG819	Meiacanthus atrodorsalis
OG820	Dascyllus aruanus
OG821	Choerodon rubescens
OG822	Pagrus auratus
OG823	Epinephelus rivulatus
OG824	Plectropomus leopardus
OG825	Cephalopholis miniata
OG826	Lethrinus nebulosus
OG827	Epinephelus fasciatus
OG828	Epinephelides armatus
OG829	Coris auricularis
OG830	Parupeneus spilurus
OG831	Seriola lalandi
OG832	Lethrinus miniatus
OG833	Bodianus bilunulatus
OG834	Scorpaena sumptuosa
OG835	Carcharhinus cautus
OG836	Carcharhinus cautus
OG837	Urogymnus asperrimus
OG838	Pristis zijsron
OG839	Pristis zijsron
OG840	Carcharhinus cautus
OG841	Rhynchobatus australiae
OG842	Glaucostegus typus
OG843	Unlabelled tube
OG844	Carcharhinus leucas
OG845	Sphyrna mokarran
OG846	Carcharodon carcharias
OG847	Paraliparis selti
OG848	Paraliparis selti
OG849	Barathrites iris
OG850	Barathrites iris
OG851	Barathrites iris
OG852	Eptatretus sp (Eptatretus cf. goliath)
OG853	Eptatretus sp (Eptatretus cf. goliath)
OG854	Bassozetus sp.
OG855	Glaucosoma hebraicum
OG856	Platycephalus bassensis
OG857	Neophoca cinerea
OG858	Neophoca cinerea
